Year,Admissions(m),Gross_box_office(m),Population(m),Admissions_per_capita,Seats (000),Screens,Theatres,Average price
1980,38.5,154.2,14.7,2.6,378,829,713,4
1981,38.7,174.3,14.9,2.6,384,842,723,4.5
1982,42,210,15.2,2.8,381,833,711,5
1983,37.1,208,15.4,2.4,395,863,737,5.6
1984,28.9,156,15.6,1.9,377,822,702,5.4
1985,29.7,160.6,15.8,1.9,324,742,573,5.4
1986,35.5,188.6,16,2.2,295,676,509,5.31
1987,30.8,182.1,16.3,1.9,303,645,506,6.16
1988,37.4,223.8,16.5,2.3,285,712,520,6.1
1989,39,257.6,16.8,2.3,286,772,501,6.6
1990,43,284.6,17.1,2.5,295,851,510,6.61
1991,46.9,325,17.3,2.7,301,885,522,6.95
1992,47.2,334.3,17.5,2.7,296,906,510,7.09
1993,55.5,388.7,17.7,3.1,300,951,518,7
1994,68.1,476.4,17.8,3.8,312,1028,537,7
1995,69.9,501.4,18,3.9,332,1137,557,7.17
1996,73.9,536.8,18.3,4.1,355,1251,551,7.26
1997,76,583.9,18.5,4.1,387,1422,563,7.47
1998,80,629.3,18.7,4.3,413,1576,567,7.87
1999,88,704.1,18.9,4.6,446,1748,580,7.93
2000,82.2,689.5,19.2,4.3,453,1817,554,8.39
2001,92.5,812.4,19.5,4.7,463,1855,547,8.78
2002,92.5,844.8,19.8,4.7,464,1872,547,9.13
2003,89.8,865.8,20.1,4.5,472,1907,553,9.64
2004,91.5,907.2,20.2,4.5,467,1909,525,9.92
2005,82.2,817.5,20.5,4,473,1943,519,9.94
2006,83.6,866.6,20.8,4,467,1964,494,10.37
2007,84.7,895.4,21.2,4,457,1941,485,10.57
2008,84.6,945.4,21.4,4,462,1980,493,11.17
2009,90.7,1087.50,21.9,4.1,463,1989,492,11.99
2010,92.4,1132.80,22.3,4.1,459,1994,482,12.26
2011,85,1093.80,22.6,3.8,457,1991,475,12.87
2012,85.9,1125.50,22.9,3.8,452,1997,478,13.1
2013,82,1099.60,23.1,3.5,445,2057,486,13.41
2014,78.6,1074.80,23.7,3.3,439,2041,489,13.68
2015,90.2,1226.30,24,3.8,436,2080,492,13.6
2016,91.3,1259.30,24.3,3.8,427,2121,498,13.8
2017,85,1201.30,24.6,3.5,419,2210,513,14.13
2018,89.8,1245.10,25,3.6,408,2278,520,13.86
2019,84.7,1228.70,25.4,3.3,408,2310,524,14.5
2020,28.2,401.2,25.8,1.1,367,2229,472,14.23
2021,39.7,605.2,25.7,1.5,372,2290,501,15.24
2022,57.9,940.6,26.2,2.2,363,2278,492,16.26
2023,58.1,985.1,26.6,2.2,373,2272,460,16.96
2024,55.4,951.2,27.2,1.8,364,2244,456,17.26
